[00:00:01] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 60690 chunks (15.44%), ETA: 9:41:23, Rate: 9.5 cps, Current: 67, -141
[00:00:02] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 60706 chunks (15.44%), ETA: 7:50:42, Rate: 11.8 cps, Current: 67, -139
[00:00:03] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 60723 chunks (15.45%), ETA: 7:44:08, Rate: 11.9 cps, Current: 70, -137
[00:00:04] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 60759 chunks (15.46%), ETA: 7:12:35, Rate: 12.8 cps, Current: 66, -131
[00:00:06] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 60780 chunks (15.46%), ETA: 7:11:28, Rate: 12.8 cps, Current: 68, -135
[00:00:07] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 60813 chunks (15.47%), ETA: 6:49:32, Rate: 13.5 cps, Current: 74, -134
[00:00:08] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 60823 chunks (15.47%), ETA: 6:50:14, Rate: 13.5 cps, Current: 75, -136
[00:00:10] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 60833 chunks (15.47%), ETA: 7:38:50, Rate: 12.1 cps, Current: 76, -134
[00:00:14] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 60919 chunks (15.50%), ETA: 5:35:12, Rate: 16.5 cps, Current: 78, -142
[00:00:15] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 60936 chunks (15.50%), ETA: 5:38:54, Rate: 16.3 cps, Current: 81, -144
[00:00:16] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 60956 chunks (15.51%), ETA: 5:36:21, Rate: 16.5 cps, Current: 86, -141
[00:00:17] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 60975 chunks (15.51%), ETA: 5:50:28, Rate: 15.8 cps, Current: 87, -139
[00:00:18] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 60983 chunks (15.51%), ETA: 5:57:32, Rate: 15.5 cps, Current: 83, -138
[00:00:19] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 61023 chunks (15.52%), ETA: 5:34:23, Rate: 16.6 cps, Current: 83, -130
[00:00:21] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 61054 chunks (15.53%), ETA: 5:33:47, Rate: 16.6 cps, Current: 87, -135
[00:00:25] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 61121 chunks (15.55%), ETA: 5:04:36, Rate: 18.2 cps, Current: 92, -138
[00:00:26] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 61146 chunks (15.55%), ETA: 5:22:28, Rate: 17.2 cps, Current: 88, -139
[00:00:27] [Server thread/INFO]: [Chunky] Task running for minecraft:overworld. Processed: 61180 chunks (15.56%), ETA: 5:03:47, Rate: 18.2 cps, Current: 95, -143
